Feature	D-estimate	Pval1	Pval0	Grambank_ID_desc
GB020	0.27506896023089067	0	0.006	GB020 ARTDef
GB021	0.41107176751216223	0	0	GB021 ARTIndef
GB022	0.04172919767740858	0	0.411	GB022 ARTPre
GB023	0.3777208581620651	0	0	GB023 ARTPost
GB028	-0.16326836652686147	0	0.906	GB028 Clusivity
GB030	-0.2031918556571689	0	0.916	GB030 PRO3PGender
GB031	-0.07615399032200337	0	0.737	GB031 PRODualAug
GB035	0.49595878147295713	0	0	GB035 DEMDistContrast
GB036	0.14456898103171364	0	0.25	GB036 DEMElevation
GB037	0.7442934899209817	0	0	GB037 DEMVisNonvis
GB038	-0.03912503734445249	0	0.603	GB038 DEMClassifier
GB039	0.2125639390233349	0	0.048	GB039 NounNUMAllomorph
GB042	-0.2741750672555985	0	0.942	GB042 SingularNoun
GB043	0.09443799020882451	0	0.339	GB043 DualBound
GB044	-0.07669355594960589	0	0.755	GB044 PluralBound
GB051	-0.4976802546729498	0	0.996	GB051 GenderSex
GB052	0.4801144238357364	0	0.007	GB052 GenderShape
GB053	-0.04757636189161303	0	0.653	GB053 GenderAnimacy
GB054	0.07221348500468912	0	0.405	GB054 GenderPlants
GB057	-0.3025234150114169	0	0.978	GB057 NUMClassif
GB058	-0.16414696844013982	0	0.828	GB058 POSSClassifier
GB059	0.06569632744414396	0	0.305	GB059 POSSAlienability
GB068	0.23526485094880836	0	0.019	GB068 PredAdjLikeV
GB069	0.5899359264921499	0	0	GB069 AttrAdjLikeV
GB070	-0.29024625986368235	0	0.984	GB070 CoreCaseNoun
GB071	0.05212126457471072	0	0.341	GB071 CoreCasePRO
GB072	-0.0443683757408611	0	0.658	GB072 ObliqueCaseNoun
GB073	0.23350311339882823	0	0.018	GB073 ObliqueCasePRO
GB074	-0.714925846183705	0	1	GB074 Prepositions
GB075	-0.33483904992178415	0	0.995	GB075 Postpositions
GB079	0.09193066384990163	0	0.232	GB079 VPrefixing
GB080	0.14476823004657027	0	0.183	GB080 VSuffixing
GB081	0.11033454303170086	0	0.25	GB081 VInfix
GB082	0.15286476520298112	0	0.101	GB082 PresentBoundV
GB083	-0.09451810645360413	0	0.793	GB083 PastBoundV
GB084	0.12866802010258932	0	0.143	GB084 FutureBoundV
GB086	0.1945267464051994	0	0.051	GB086 AspectBoundV
GB089	-0.19065802270951626	0	0.93	GB089 S-ArgSfxV
GB090	-0.32374740891935583	0	0.995	GB090 S-ArgPfxV
GB091	-0.27596347228837675	0	0.988	GB091 A-ArgSfxV
GB092	-0.25292819245792636	0	0.972	GB092 A-ArgPfxV
GB093	0.11191421444076113	0	0.179	GB093 P-ArgSfxV
GB094	-0.3762844415611938	0	0.984	GB094 P-ArgPfxV
GB095	0.5443570523714077	0	0	GB095 CaseSplitTAM
GB096	0.43174313578809154	0	0.004	GB096 CaseSplitVerbClass
GB098	0.6243397163422303	0	0	GB098 CaseSplitPerson
GB099	0.23329116558697613	0	0.136	GB099 VSupplPerson
GB103	0.1033707658407525	0	0.226	GB103 BenefApplBoundV
GB104	0.23999438649670438	0	0.061	GB104 AppInstrBoundV
GB105	0.37648120418900394	0	0	GB105 CaseRecipientObj
GB107	0.1310384794538916	0	0.134	GB107 NEGBoundV
GB108	0.27875278289793215	0	0.004	GB108 DirLocBoundV
GB109	0.0059717772201965304	0	0.518	GB109 VSupplNUM
GB110	-0.06761405520936924	0	0.692	GB110 VSupplTA
GB111	0.2336788561452641	0	0.01	GB111 VerbClass
GB113	0.16551287499809372	0	0.089	GB113 TransitivizingBound
GB114	0.07510335701598547	0	0.275	GB114 ReflBoundV
GB115	0.23489115011607814	0	0.021	GB115 RecipBoundV
GB116	0.12312164943179765	0	0.349	GB116 VClassifiers
GB117	0.06563113882012497	0	0.303	GB117 CopulaPredNom
GB119	0.5211479468283995	0	0	GB119 MoodAUX
GB120	0.49613639725200037	0	0	GB120 AspectAUX
GB121	0.42466821441003816	0	0	GB121 AUXTense
GB129	0.21167866514813713	0	0.366	GB129 FewVerbs
GB131	-0.27392119939017257	0	0.95	GB131 TransVInitOrder
GB132	-0.37579653889774567	0	0.994	GB132 TransVMedOrder
GB133	-0.6810067869723352	0	1	GB133 TransVFinalOrder
GB136	0.46713336149186124	0	0	GB136 WordOrderFixed
GB137	0.22937410468389594	0	0.015	GB137 NEGFinal
GB138	0.33218597341671297	0	0.001	GB138 NEGInitial
GB139	0.5690547408679484	0	0	GB139 NEGProhibitive
GB147	0.03723168368994727	0	0.422	GB147 PassiveBoundV
GB149	0.2906803118285487	0	0.115	GB149 InverseBoundV
GB155	-0.022495894740066816	0	0.599	GB155 CAUSBound
GB158	0.2904620387462306	0	0.007	GB158 RedupV
GB165	0.6762333720605114	0.268	0.213	GB165 TrialBound
GB166	0.6134973853320407	0.007	0.036	GB166 PaucalBound
GB170	-0.5684996207575673	0	1	GB170 ADJGender
GB171	-0.513747503023367	0	0.999	GB171 DEMGender
GB172	2.15072343717676e-4	0	0.553	GB172 ARTGender
GB177	0.35459441059501234	0	0.026	GB177 AnimacyBoundV
GB184	0.15835369421505213	0	0.098	GB184 AdjNUM
GB185	0.20076531306364137	0	0.034	GB185 DEMNum
GB186	0.3453490034037787	0	0.009	GB186 ARTNum
GB192	-0.29616867200541763	0	0.906	GB192 GenderPhono
GB196	-0.5951737580178063	0	0.991	GB196 PRO2PMascFem
GB197	0.14507196858830837	0	0.394	GB197 PRO1PMascFem
GB198	-0.41555028679428563	0	0.988	GB198 NUMGender
GB298	0.4440270311368252	0	0.003	GB298 NEGAux
GB299	0.24324559538947552	0	0.015	GB299 NEGPart
GB309	0.23155813596136857	0	0.023	GB309 MultiplePastFuture
GB312	-0.05786529007584718	0	0.715	GB312 MoodBoundV
GB313	0.5587699535825661	0	0	GB313 PROPoss
GB316	0.3740596801749711	0	0.034	GB316 SingularFree
GB317	0.369218191647513	0	0.061	GB317 DualFree
GB318	0.15351620773962724	0	0.137	GB318 PluralFree
GB319	0.6070953193793904	0.203	0.252	GB319 TrialFree
GB320	-0.11079768618370557	0	0.632	GB320 PaucalFree
GB321	0.013917686722419855	0	0.493	GB321 GenderUnpredict
GB430	0.12740930837126663	0	0.287	GB430 POSSPfxPosr
GB431	-0.17320144209191013	0	0.877	GB431 POSSPfxPosd
GB432	-0.10957879003707043	0	0.811	GB432 POSSSfxPosr
GB433	-0.10247989620550282	0	0.806	GB433 POSSSfxPosd
GB024a	-0.3964448239122572	0	0.996	GB024a NUMOrder_Num-N
GB024b	-0.3341998417018168	0	0.989	GB024b NUMOrder_N-Num
GB025a	-0.17230195614799168	0	0.918	GB025a DEMOrder_Dem-N
GB025b	-0.18608206336349176	0	0.922	GB025b DEMOrder_N-Dem
GB065a	-0.3688082115174712	0	0.99	GB065a POSSOrder_PSR-PSD
GB065b	-0.3876219423725761	0	0.998	GB065b POSSOrder_PSD-PSR
GB130a	-0.24072944726399825	0	0.918	GB130a IntransOrder_SV
GB130b	-0.11488616386715692	0	0.804	GB130b IntransOrder_VS
GB193a	-0.10077654762438938	0	0.814	GB193a ANMOrder_ANM-N
GB193b	-0.20314211342554525	0	0.932	GB193b ANMOrder_N-ANM
